FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
2024-01-06,24,-99,1,1,-99,1,0,2,0,1,1,2,1,-99,1,-99,0,2,2,-99,1,2,0,1,1,-99,-99,1,2,-99,-99,1,1,-99
2024-01-07,1,-99,1,1,-99,2,0,2,0,1,1,2,1,-99,1,-99,1,2,2,-99,1,2,0,1,1,-99,-99,1,1,-99,-99,0,1,-99
2024-01-07,2,-99,1,1,-99,1,-99,1,0,1,1,2,1,-99,1,-99,0,2,2,-99,1,2,0,2,1,-99,-99,1,1,-99,-99,0,1,-99
2024-01-07,3,-99,1,1,-99,1,0,2,0,1,0,1,1,-99,1,-99,0,2,2,-99,1,2,0,1,0,-99,-99,1,1,-99,-99,0,1,-99
2024-01-07,4,-99,1,1,-99,-99,0,2,0,1,0,1,1,-99,1,-99,0,2,2,-99,1,3,0,2,1,-99,-99,1,1,-99,-99,0,1,-99
2024-01-07,5,-99,1,1,-99,-99,0,2,0,1,0,1,1,-99,1,-99,1,2,2,-99,1,2,0,1,1,-99,-99,1,1,-99,-99,0,1,-99
2024-01-07,6,-99,1,1,-99,-99,0,2,0,1,0,1,0,-99,1,-99,1,2,2,-99,1,3,0,1,0,-99,-99,1,2,-99,-99,0,2,-99
2024-01-07,7,-99,1,1,-99,1,0,2,0,1,1,1,1,-99,2,-99,2,3,2,-99,1,3,0,1,1,-99,-99,1,2,-99,-99,0,1,-99
2024-01-07,8,-99,1,2,-99,1,1,3,0,1,1,1,1,-99,2,-99,2,4,2,-99,1,2,0,1,1,-99,-99,1,2,-99,-99,1,1,-99
2024-01-07,9,-99,1,3,-99,2,1,2,0,1,2,1,1,-99,2,-99,2,3,2,-99,1,5,1,2,1,-99,-99,1,3,-99,-99,1,2,-99
